2.074776 0.000000  -0.132191  -0.104735  -0.091674  -0.070803  3.587460  5.009172  5.087352  5.121124  5.200262  5.249484
2.086834 0.000000  -0.127973  -0.104817  -0.088409  -0.066449  3.587553  4.987741  5.072133  5.107293  5.190308  5.245973
2.098893 0.000000  -0.123783  -0.105062  -0.085279  -0.064408  3.587675  4.972297  5.062190  5.097189  5.183222  5.241709
2.110951 0.000000  -0.119946  -0.105252  -0.082395  -0.064626  3.587830  4.962960  5.057774  5.091584  5.179685  5.238205
2.123009 0.000000  -0.116980  -0.105089  -0.079973  -0.066830  3.588015  4.959787  5.058925  5.090882  5.180172  5.235862
2.135068 0.000000  -0.115620  -0.103892  -0.078313  -0.070422  3.588225  4.962777  5.065537  5.095235  5.184838  5.234713
2.147126 0.000000  -0.116218  -0.101688  -0.078232  -0.074041  3.588451  4.971863  5.077311  5.104610  5.193410  5.234792
2.159184 0.000000  -0.118286  -0.099320  -0.081306  -0.075538  3.588685  4.986905  5.093622  5.118865  5.204991  5.236259
2.171243 0.000000  -0.121198  -0.097742  -0.085034  -0.076762  3.588911  5.007655  5.113140  5.137959  5.217696  5.239696
2.183301 0.000000  -0.123919  -0.097715  -0.087565  -0.078966  3.589115  5.033681  5.133380  5.162169  5.228060  5.247222
2.195359 0.000000  -0.123864  -0.099511  -0.088789  -0.082204  3.589289  5.064149  5.151334  5.191304  5.233728  5.260689
2.207417 0.000000  -0.119837  -0.102749  -0.089905  -0.085851  3.589419  5.097058  5.165769  5.220768  5.239350  5.272115
2.219476 0.000000  -0.115647  -0.107266  -0.092273  -0.087837  3.589504  5.126335  5.179336  5.229056  5.258172  5.278371
2.231534 0.000000  -0.115347  -0.110068  -0.093824  -0.088245  3.589531  5.138531  5.190961  5.224752  5.259633  5.268167
I found 8 paths: 0.309400  0.580125  0.899108  1.072748  1.382148  1.679648  2.026543  2.231534  Ef=-0.041662, Emax=-0.174180, Emin=-0.044271
Gap=3.534959

